parameter,value,Water removal,Dry co2 water molefrac
N stages,5.0,0.9484546257910854,0.0027191294407425976
N stages,7.0,0.9537730301504805,0.0024393209217945942
DES flow,500.0,0.9418555857193168,0.0030663464067935235
DES flow,600.0,0.9495408709312191,0.0026633997573350626
P,1000000.0,0.9418126808837047,0.00306860268321627
P,1200000.0,0.9536439760075168,0.0024490277262474956
T gas,313.15,0.9418555857193168,0.0030663464067935235
T gas,323.15,0.9404980556290571,0.0031364147106325
