stream_ID,source_unit,kind,CO2,Water,DES_choline_chloride_glycerol,total_mol_flow_kmol_hr,T_C,P_bar,phase
fresh_des_1,mixer_1,inlet,0.0,0.0,25.0,25.0,25.0,1.0,l
recycle_1,mixer_1,inlet,0.003458418190480843,10.859570830991949,456.3806322461122,467.24366149529465,25.0,1.0,l
s1,mixer_1,outlet,0.0034680376632839705,10.889081903847147,481.6227027343749,492.51525267588534,25.0,1.0,l
gas_feed_1,absorber_1,inlet,950.0,50.0,0.0,1000.0,40.0,1.0,g
s1,absorber_1,inlet,0.0034680376632839705,10.889081903847147,481.6227027343749,492.51525267588534,25.0,1.0,l
dry_CO2_1,absorber_1,outlet,949.9962575609777,38.25231366337525,0.0,988.248571224353,28.403227007782846,1.0,g
rich_DES_1,absorber_1,outlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,33.07503429158123,1.0,l
rich_DES_1,valve_1,inlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,33.07503429158123,1.0,l
valve_out_1,valve_1,outlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.2666814515324,32.73623406423343,0.05,gl
valve_out_1,hx_1,inlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.2666814515324,32.73623406423343,0.05,gl
flash_liquid_1,hx_1,inlet,0.0036052383428233268,11.318384120235951,481.6227027343749,492.9446920929537,200.0,0.05,l
hx_cold_out_1,hx_1,outlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,194.89594003775176,0.05,l
hx_hot_out_1,hx_1,outlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,37.73623406423343,0.05,l
hx_cold_out_1,heater_1,inlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,194.89594003775176,0.05,l
heater_out_1,heater_1,outlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,194.41664197467122,0.05,gl
heater_out_1,flash_1,inlet,0.0072104766856466536,22.636768240471902,481.6227027343749,504.26668145153246,194.41664197467122,0.05,gl
flash_vapor_1,flash_1,outlet,0.0036052383428233268,11.318384120235951,0.0,11.321989358578774,200.00000000000006,0.05,g
flash_liquid_1,flash_1,outlet,0.0036052383428233268,11.318384120235951,481.6227027343749,492.9446920929537,200.0,0.05,l
flash_vapor_1,condenser_1,inlet,0.0036052383428233268,11.318384120235951,0.0,11.321989358578774,200.00000000000006,0.05,g
co2_vent_1,condenser_1,outlet,0.0035753010127517883,0.020193523713108813,0.0,0.0237688247258606,30.0,0.05,g
water_product_1,condenser_1,outlet,2.993733007153854e-05,11.298190596522844,0.0,11.298220533852914,30.0,0.05,l
hx_hot_out_1,pump_1,inlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,37.73623406423343,0.05,l
pump_out_1,pump_1,outlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,37.73623406423343,1.0,l
pump_out_1,cooler_1,inlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,37.73623406423343,1.0,l
cooler_out_1,cooler_1,outlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,25.0,1.0,l
cooler_out_1,splitter_1,inlet,0.0036404402005061507,11.431127190517842,480.4006655222234,491.83543315294173,25.0,1.0,l
recycle_1,splitter_1,outlet,0.003458418190480843,10.859570830991949,456.3806322461122,467.24366149529465,25.0,1.0,l
purge_1,splitter_1,outlet,0.00018202201002530784,0.5715563595258928,24.020033276111178,24.591771657647097,25.0,1.0,l
